time;avg_velo;frac_wait;numb_cars;numb_cars_in;numb_cars_out;avg_velo_in_traffic;
60.049999999998725;31.796417143465632;0.0;1;1;0;31.796417143465632;
120.04999999999532;0.0;0.0;1;1;0;0.0;
180.00000000000668;NaN;NaN;0;0;0;NaN;
240.00000000002032;49.30778543707037;0.0;1;1;0;49.30778543707037;
300.00000000003394;NaN;NaN;0;0;0;NaN;
360.0000000000476;0.0;0.0;1;1;0;0.0;
420.0000000000612;NaN;NaN;0;0;0;NaN;
480.00000000007486;44.84078226337985;0.0;1;1;0;44.84078226337985;
540.0000000000566;0.0;0.0;1;1;0;0.0;
600.000000000002;0.49057215945404303;0.0;1;1;0;0.49057215945404303;
660.0499999999474;NaN;NaN;0;0;0;NaN;
720.0499999998929;NaN;NaN;0;0;0;NaN;
780.0499999998383;NaN;NaN;0;0;0;NaN;
840.0499999997837;0.0;0.0;1;1;0;0.0;
900.0499999997292;0.9955168632747211;0.0;1;1;0;0.9955168632747211;
960.0499999996746;0.0;0.0;2;2;0;0.0;
1020.04999999962;0.0;0.0;1;1;0;0.0;
1080.0499999995654;44.04557800573616;0.0;3;3;0;44.04557800573616;
1140.0499999995109;NaN;NaN;0;0;0;NaN;
1200.0499999994563;NaN;NaN;0;0;0;NaN;
1260.0499999994017;0.0;0.0;1;1;0;0.0;
1320.0499999993472;0.0;0.0;1;1;0;0.0;
1380.0499999992926;45.28641653457551;0.0;4;4;0;45.28641653457551;
1440.049999999238;0.0;0.0;1;1;0;0.0;
1500.0499999991835;NaN;NaN;0;0;0;NaN;
1560.0499999991289;0.0;0.0;2;2;0;0.0;
1620.0499999990743;NaN;NaN;0;0;0;NaN;
1680.0499999990197;NaN;NaN;0;0;0;NaN;
1740.0499999989652;0.0;0.0;1;1;0;0.0;
1800.0499999989106;0.9894299341624352;0.0;2;2;0;0.9894299341624352;
1860.049999998856;NaN;NaN;0;0;0;NaN;
1920.0499999988015;0.0;0.0;1;1;0;0.0;
1980.049999998747;NaN;NaN;0;0;0;NaN;
2040.0499999986923;NaN;NaN;0;0;0;NaN;
2100.0499999988742;0.937259224634838;0.0;1;1;0;0.937259224634838;
2160.0499999990925;NaN;NaN;0;0;0;NaN;
2220.049999999311;0.0;0.0;1;1;0;0.0;
2280.049999999529;42.10567333929017;0.0;1;1;0;42.10567333929017;
2340.0499999997473;NaN;NaN;0;0;0;NaN;
2400.0499999999656;NaN;NaN;0;0;0;NaN;
2460.0000000001837;NaN;NaN;0;0;0;NaN;
2520.000000000402;0.0;0.0;1;1;0;0.0;
2580.0000000006203;NaN;NaN;0;0;0;NaN;
2640.0000000008386;NaN;NaN;0;0;0;NaN;
2700.000000001057;0.5365942500954887;0.0;1;1;0;0.5365942500954887;
2760.000000001275;NaN;NaN;0;0;0;NaN;
2820.0000000014934;21.746093346655226;0.0;1;1;0;21.746093346655226;
2880.0000000017117;44.12006552520345;0.0;2;2;0;44.12006552520345;
2940.00000000193;0.0;0.0;2;2;0;0.0;
3000.000000002148;0.5946978886842825;0.5;2;2;0;0.5946978886842825;
3060.0000000023665;NaN;NaN;0;0;0;NaN;
3120.000000002585;NaN;NaN;0;0;0;NaN;
3180.000000002803;NaN;NaN;0;0;0;NaN;
3240.0000000030213;0.0;0.0;2;2;0;0.0;
3300.0000000032396;0.5270143742732325;0.0;1;1;0;0.5270143742732325;
3360.000000003458;0.0;0.0;1;1;0;0.0;
3420.000000003676;NaN;NaN;0;0;0;NaN;
3480.0000000038945;43.04347293301027;0.0;1;1;0;43.04347293301027;
3540.0000000041127;NaN;NaN;0;0;0;NaN;
3600.000000004331;22.978584556743982;0.0;2;2;0;22.978584556743982;
3660.0000000045493;3.2269033746543365;0.0;2;2;0;3.2269033746543365;
3720.0000000047676;0.0;0.0;1;1;0;0.0;
3780.000000004986;NaN;NaN;0;0;0;NaN;
