time;avg_velo;frac_wait;numb_cars;numb_cars_in;numb_cars_out;avg_velo_in_traffic;
60.049999999998725;22.049822737026442;0.0;2;2;0;22.049822737026442;
120.04999999999532;0.9999999926279665;0.0;1;1;0;0.9999999926279665;
180.00000000000668;46.84516394634809;0.0;1;1;0;46.84516394634809;
240.00000000002032;NaN;NaN;0;0;0;NaN;
300.00000000003394;0.5;0.0;1;1;0;0.5;
360.0000000000476;NaN;NaN;0;0;0;NaN;
420.0000000000612;NaN;NaN;0;0;0;NaN;
480.00000000007486;0.5226993517886579;0.0;1;1;0;0.5226993517886579;
540.0000000000566;NaN;NaN;0;0;0;NaN;
600.000000000002;0.5;0.0;1;1;0;0.5;
660.0499999999474;1.000585275690855;0.0;2;2;0;1.000585275690855;
720.0499999998929;NaN;NaN;0;0;0;NaN;
780.0499999998383;19.30849623308252;0.0;2;2;0;19.30849623308252;
840.0499999997837;NaN;NaN;0;0;0;NaN;
900.0499999997292;NaN;NaN;0;0;0;NaN;
960.0499999996746;NaN;NaN;0;0;0;NaN;
1020.04999999962;NaN;NaN;0;0;0;NaN;
1080.0499999995654;49.20253610076688;0.0;1;1;0;49.20253610076688;
1140.0499999995109;0.9100124332215735;0.0;1;1;0;0.9100124332215735;
1200.0499999994563;NaN;NaN;0;0;0;NaN;
1260.0499999994017;2.180935739546168;0.0;1;1;0;2.180935739546168;
1320.0499999993472;1.0904681453111533;0.0;1;1;0;1.0904681453111533;
1380.0499999992926;NaN;NaN;0;0;0;NaN;
1440.049999999238;NaN;NaN;0;0;0;NaN;
1500.0499999991835;NaN;NaN;0;0;0;NaN;
1560.0499999991289;19.70668178813307;0.0;2;2;0;19.70668178813307;
1620.0499999990743;NaN;NaN;0;0;0;NaN;
1680.0499999990197;25.07361688590916;0.0;4;4;0;25.07361688590916;
1740.0499999989652;NaN;NaN;0;0;0;NaN;
1800.0499999989106;0.9999999957913295;0.0;1;1;0;0.9999999957913295;
1860.049999998856;NaN;NaN;0;0;0;NaN;
1920.0499999988015;NaN;NaN;0;0;0;NaN;
1980.049999998747;NaN;NaN;0;0;0;NaN;
2040.0499999986923;1.0788190450177808;0.0;1;1;0;1.0788190450177808;
2100.0499999988742;NaN;NaN;0;0;0;NaN;
2160.0499999990925;NaN;NaN;0;0;0;NaN;
2220.049999999311;NaN;NaN;0;0;0;NaN;
2280.049999999529;1.0388805662868676;0.0;1;1;0;1.0388805662868676;
2340.0499999997473;1.0150387011601358;0.0;1;1;0;1.0150387011601358;
2400.0499999999656;NaN;NaN;0;0;0;NaN;
2460.0000000001837;NaN;NaN;0;0;0;NaN;
2520.000000000402;10.942722927283159;0.0;2;2;0;10.942722927283159;
2580.0000000006203;0.229354264252016;0.0;2;2;0;0.229354264252016;
