time;avg_velo;frac_wait;numb_cars;numb_cars_in;numb_cars_out;avg_velo_in_traffic;
60.049999999998725;34.29712416142196;0.0;2;2;0;34.29712416142196;
120.04999999999532;17.821527183802456;0.0;3;3;0;17.821527183802456;
180.00000000000668;NaN;NaN;0;0;0;NaN;
240.00000000002032;24.74703719390206;0.0;2;2;0;24.74703719390206;
300.00000000003394;31.68284031595833;0.0;3;3;0;31.68284031595833;
360.0000000000476;0.0;0.0;2;2;0;0.0;
420.0000000000612;18.409012324753625;0.0;4;4;0;18.409012324753625;
480.00000000007486;25.74351327871378;0.0;1;1;0;25.74351327871378;
540.0000000000566;19.110777469720496;0.0;2;2;0;19.110777469720496;
600.000000000002;25.56684587713906;0.0;2;2;0;25.56684587713906;
660.0499999999474;12.897517072817704;0.0;3;3;0;12.897517072817704;
720.0499999998929;10.592963967596596;0.0;3;3;0;10.592963967596596;
780.0499999998383;0.0;0.0;1;1;0;0.0;
840.0499999997837;29.672687337531954;0.0;2;2;0;29.672687337531954;
900.0499999997292;26.819010264641516;0.0;2;2;0;26.819010264641516;
960.0499999996746;0.0;0.0;3;3;0;0.0;
1020.04999999962;NaN;NaN;0;0;0;NaN;
1080.0499999995654;7.242162322614439;0.0;2;2;0;7.242162322614439;
1140.0499999995109;21.55412527034197;0.0;3;3;0;21.55412527034197;
1200.0499999994563;52.73152411805337;0.0;2;2;0;52.73152411805337;
1260.0499999994017;32.007074105613285;0.0;5;5;0;32.007074105613285;
1320.0499999993472;18.067061980853364;0.0;1;1;0;18.067061980853364;
1380.0499999992926;24.064656637892032;0.0;5;5;0;24.064656637892032;
1440.049999999238;21.511791281614144;0.0;4;4;0;21.511791281614144;
1500.0499999991835;0.0;0.0;2;2;0;0.0;
1560.0499999991289;21.088829081427996;0.0;2;2;0;21.088829081427996;
1620.0499999990743;NaN;NaN;0;0;0;NaN;
1680.0499999990197;36.00781684946288;0.0;4;4;0;36.00781684946288;
1740.0499999989652;0.0;0.0;2;2;0;0.0;
1800.0499999989106;NaN;NaN;0;0;0;NaN;
1860.049999998856;32.571305379853825;0.0;1;1;0;32.571305379853825;
1920.0499999988015;14.086396032906158;0.0;6;6;0;14.086396032906158;
1980.049999998747;0.0;0.0;7;7;0;0.0;
2040.0499999986923;31.08730391969063;0.0;4;4;0;31.08730391969063;
2100.0499999988742;16.55305579664523;0.0;3;3;0;16.55305579664523;
2160.0499999990925;23.39076559545594;0.0;2;2;0;23.39076559545594;
2220.049999999311;NaN;NaN;0;0;0;NaN;
2280.049999999529;0.0;0.0;1;1;0;0.0;
2340.0499999997473;34.544215654312126;0.0;2;2;0;34.544215654312126;
2400.0499999999656;0.0;0.0;4;4;0;0.0;
2460.0000000001837;15.103214222416725;0.0;4;4;0;15.103214222416725;
2520.000000000402;22.36905551401548;0.0;5;5;0;22.36905551401548;
2580.0000000006203;31.274229574844426;0.0;3;3;0;31.274229574844426;
2640.0000000008386;22.76576860447734;0.0;2;2;0;22.76576860447734;
2700.000000001057;12.352246156419097;0.0;4;4;0;12.352246156419097;
2760.000000001275;27.28242583024274;0.0;3;3;0;27.28242583024274;
2820.0000000014934;15.045685176768886;0.0;3;3;0;15.045685176768886;
2880.0000000017117;NaN;NaN;0;0;0;NaN;
2940.00000000193;NaN;NaN;0;0;0;NaN;
3000.000000002148;29.50845774852711;0.0;3;3;0;29.50845774852711;
3060.0000000023665;24.178748800795784;0.0;2;2;0;24.178748800795784;
3120.000000002585;NaN;NaN;0;0;0;NaN;
3180.000000002803;NaN;NaN;0;0;0;NaN;
3240.0000000030213;0.0;0.0;3;3;0;0.0;
3300.0000000032396;NaN;NaN;0;0;0;NaN;
3360.000000003458;NaN;NaN;0;0;0;NaN;
3420.000000003676;NaN;NaN;0;0;0;NaN;
3480.0000000038945;19.11799256092382;0.0;4;4;0;19.11799256092382;
3540.0000000041127;22.734717119000322;0.0;4;4;0;22.734717119000322;
3600.000000004331;30.703749667909698;0.0;4;4;0;30.703749667909698;
3660.0000000045493;24.998650378226564;0.0;2;2;0;24.998650378226564;
3720.0000000047676;0.0;0.0;1;1;0;0.0;
3780.000000004986;0.0;0.0;1;1;0;0.0;
3840.000000005204;0.0;0.0;1;1;0;0.0;
3900.0000000054224;13.737759345887852;0.0;2;2;0;13.737759345887852;
3960.0000000056407;NaN;NaN;0;0;0;NaN;
4020.000000005859;14.225504500807952;0.0;1;1;0;14.225504500807952;
4080.0000000060772;NaN;NaN;0;0;0;NaN;
4140.0000000062955;NaN;NaN;0;0;0;NaN;
4200.000000006514;0.0;0.0;1;1;0;0.0;
4260.000000006732;48.79303330415926;0.0;1;1;0;48.79303330415926;
4320.00000000695;41.94875741907368;0.0;1;1;0;41.94875741907368;
4380.000000007169;0.0;0.0;1;1;0;0.0;
4440.000000007387;NaN;NaN;0;0;0;NaN;
4500.000000007605;0.0;0.0;1;1;0;0.0;
4560.0000000078235;30.803786937377897;0.0;3;3;0;30.803786937377897;
4620.000000008042;22.67575602656634;0.0;2;2;0;22.67575602656634;
4680.00000000826;0.0;0.0;2;2;0;0.0;
4740.000000008478;NaN;NaN;0;0;0;NaN;
4800.000000008697;0.0;0.0;2;2;0;0.0;
4860.000000008915;0.0;0.0;1;1;0;0.0;
4920.000000009133;7.889610860753904;0.0;3;3;0;7.889610860753904;
4980.000000009351;14.37988140702648;0.0;5;5;0;14.37988140702648;
5040.00000000957;16.351105060207153;0.0;3;3;0;16.351105060207153;
5100.000000009788;0.0;0.0;2;2;0;0.0;
5160.000000010006;16.424283194309105;0.0;3;3;0;16.424283194309105;
5220.0000000102245;0.0;0.0;1;1;0;0.0;
5280.000000010443;0.0;0.0;1;1;0;0.0;
5340.000000010661;21.278153214163535;0.0;3;3;0;21.278153214163535;
5400.000000010879;NaN;NaN;0;0;0;NaN;
5460.000000011098;NaN;NaN;0;0;0;NaN;
5520.000000011316;22.423221388467287;0.0;3;3;0;22.423221388467287;
5580.000000011534;9.175827248186954;0.0;4;4;0;9.175827248186954;
5640.0000000117525;0.28202895068369294;0.0;5;5;0;0.28202895068369294;
5700.000000011971;0.0;0.0;1;1;0;0.0;
5760.000000012189;NaN;NaN;0;0;0;NaN;
5820.000000012407;27.133350930879413;0.0;2;2;0;27.133350930879413;
5880.000000012626;24.419804293989888;0.0;2;2;0;24.419804293989888;
5940.000000012844;18.92078566320659;0.0;2;2;0;18.92078566320659;
