time;avg_velo;frac_wait;numb_cars;numb_cars_in;numb_cars_out;avg_velo_in_traffic;
60.049999999998725;NaN;NaN;0;0;0;NaN;
120.04999999999532;37.827638754328554;0.0;1;1;0;37.827638754328554;
180.00000000000668;NaN;NaN;0;0;0;NaN;
240.00000000002032;0.0;0.0;1;1;0;0.0;
300.00000000003394;NaN;NaN;0;0;0;NaN;
360.0000000000476;0.0;0.0;2;2;0;0.0;
420.0000000000612;NaN;NaN;0;0;0;NaN;
480.00000000007486;40.584232129929184;0.0;1;1;0;40.584232129929184;
540.0000000000566;0.0;0.0;1;1;0;0.0;
600.000000000002;0.5065401939596825;0.0;2;2;0;0.5065401939596825;
660.0499999999474;NaN;NaN;0;0;0;NaN;
720.0499999998929;NaN;NaN;0;0;0;NaN;
780.0499999998383;NaN;NaN;0;0;0;NaN;
840.0499999997837;NaN;NaN;0;0;0;NaN;
900.0499999997292;1.0431693385482639;0.0;1;1;0;1.0431693385482639;
960.0499999996746;47.545668564667466;0.0;1;1;0;47.545668564667466;
1020.04999999962;NaN;NaN;0;0;0;NaN;
1080.0499999995654;42.346129138920936;0.0;2;2;0;42.346129138920936;
1140.0499999995109;NaN;NaN;0;0;0;NaN;
1200.0499999994563;NaN;NaN;0;0;0;NaN;
1260.0499999994017;89.38231218451097;0.0;1;1;0;89.38231218451097;
1320.0499999993472;0.0;0.0;1;1;0;0.0;
1380.0499999992926;NaN;NaN;0;0;0;NaN;
1440.049999999238;42.24094017232871;0.0;1;1;0;42.24094017232871;
1500.0499999991835;0.9434797896066582;0.0;1;1;0;0.9434797896066582;
1560.0499999991289;0.0;0.0;2;2;0;0.0;
1620.0499999990743;NaN;NaN;0;0;0;NaN;
1680.0499999990197;58.80706973511206;0.0;1;1;0;58.80706973511206;
1740.0499999989652;0.0;0.0;1;1;0;0.0;
1800.0499999989106;1.0060879601371155;0.0;2;2;0;1.0060879601371155;
1860.049999998856;0.0;0.0;2;2;0;0.0;
1920.0499999988015;17.51553461297679;0.0;3;3;0;17.51553461297679;
1980.049999998747;NaN;NaN;0;0;0;NaN;
2040.0499999986923;NaN;NaN;0;0;0;NaN;
2100.0499999988742;0.9999999958235152;0.0;2;2;0;0.9999999958235152;
2160.0499999990925;51.66369472515363;0.0;1;1;0;51.66369472515363;
2220.049999999311;0.0;0.0;2;2;0;0.0;
2280.049999999529;46.53257583227919;0.0;1;1;0;46.53257583227919;
2340.0499999997473;0.0;0.0;3;3;0;0.0;
2400.0499999999656;NaN;NaN;0;0;0;NaN;
2460.0000000001837;NaN;NaN;0;0;0;NaN;
2520.000000000402;NaN;NaN;0;0;0;NaN;
2580.0000000006203;44.07099384459706;0.0;1;1;0;44.07099384459706;
2640.0000000008386;NaN;NaN;0;0;0;NaN;
2700.000000001057;21.419372879449945;0.0;1;1;0;21.419372879449945;
2760.000000001275;0.0;0.0;1;1;0;0.0;
2820.0000000014934;NaN;NaN;0;0;0;NaN;
2880.0000000017117;42.280593285154424;0.0;2;2;0;42.280593285154424;
2940.00000000193;23.86416693127715;0.0;2;2;0;23.86416693127715;
3000.000000002148;0.5196179677026479;0.0;3;3;0;0.5196179677026479;
3060.0000000023665;NaN;NaN;0;0;0;NaN;
3120.000000002585;0.0;0.0;1;1;0;0.0;
3180.000000002803;41.38882430371374;0.0;1;1;0;41.38882430371374;
3240.0000000030213;53.88874792732128;0.0;1;1;0;53.88874792732128;
3300.0000000032396;0.47481246763889096;0.0;1;1;0;0.47481246763889096;
3360.000000003458;NaN;NaN;0;0;0;NaN;
3420.000000003676;0.0;0.0;1;1;0;0.0;
3480.0000000038945;40.987335437112336;0.0;1;1;0;40.987335437112336;
3540.0000000041127;53.66629704555929;0.0;2;2;0;53.66629704555929;
3600.000000004331;0.4917477101650642;0.0;1;1;0;0.4917477101650642;
3660.0000000045493;NaN;NaN;0;0;0;NaN;
3720.0000000047676;0.0;0.0;2;2;0;0.0;
3780.000000004986;44.389555045720954;0.0;2;2;0;44.389555045720954;
3840.000000005204;51.39697075441311;0.0;1;1;0;51.39697075441311;
3900.0000000054224;NaN;NaN;0;0;0;NaN;
3960.0000000056407;NaN;NaN;0;0;0;NaN;
4020.000000005859;NaN;NaN;0;0;0;NaN;
4080.0000000060772;NaN;NaN;0;0;0;NaN;
4140.0000000062955;NaN;NaN;0;0;0;NaN;
4200.000000006514;0.50043049641613;0.0;3;3;0;0.50043049641613;
4260.000000006732;NaN;NaN;0;0;0;NaN;
4320.00000000695;0.0;0.0;1;1;0;0.0;
4380.000000007169;NaN;NaN;0;0;0;NaN;
4440.000000007387;NaN;NaN;0;0;0;NaN;
4500.000000007605;NaN;NaN;0;0;0;NaN;
4560.0000000078235;48.04894487693619;0.0;1;1;0;48.04894487693619;
4620.000000008042;0.0;0.0;1;1;0;0.0;
4680.00000000826;NaN;NaN;0;0;0;NaN;
4740.000000008478;NaN;NaN;0;0;0;NaN;
4800.000000008697;0.4784843841764939;0.0;1;1;0;0.4784843841764939;
4860.000000008915;0.0;0.0;1;1;0;0.0;
4920.000000009133;0.0;0.0;1;1;0;0.0;
4980.000000009351;45.32486077451878;0.0;1;1;0;45.32486077451878;
5040.00000000957;0.0;0.0;1;1;0;0.0;
5100.000000009788;0.4716297239617019;0.0;1;1;0;0.4716297239617019;
5160.000000010006;NaN;NaN;0;0;0;NaN;
5220.0000000102245;NaN;NaN;0;0;0;NaN;
5280.000000010443;47.76313591545362;0.0;2;2;0;47.76313591545362;
5340.000000010661;0.0;0.0;1;1;0;0.0;
5400.000000010879;NaN;NaN;0;0;0;NaN;
5460.000000011098;NaN;NaN;0;0;0;NaN;
5520.000000011316;NaN;NaN;0;0;0;NaN;
5580.000000011534;NaN;NaN;0;0;0;NaN;
5640.0000000117525;0.0;0.0;1;1;0;0.0;
5700.000000011971;0.5051871224392066;0.0;2;2;0;0.5051871224392066;
5760.000000012189;0.0;0.0;1;1;0;0.0;
5820.000000012407;0.0;0.0;1;1;0;0.0;
5880.000000012626;40.11392216801751;0.0;1;1;0;40.11392216801751;
5940.000000012844;NaN;NaN;0;0;0;NaN;
6000.000000013062;NaN;NaN;0;0;0;NaN;
6060.00000001328;12.20000090858375;0.0;1;1;0;12.20000090858375;
6120.000000013499;0.0;0.0;1;1;0;0.0;
6180.000000013717;NaN;NaN;0;0;0;NaN;
6240.000000013935;0.0;0.0;2;2;0;0.0;
6300.000000014154;NaN;NaN;0;0;0;NaN;
6360.000000014372;0.0;0.0;1;1;0;0.0;
6420.00000001459;0.0;0.0;1;1;0;0.0;
6480.000000014808;44.10444689529824;0.0;1;1;0;44.10444689529824;
6540.000000015027;NaN;NaN;0;0;0;NaN;
6600.000000015245;NaN;NaN;0;0;0;NaN;
6660.000000015463;NaN;NaN;0;0;0;NaN;
6720.0000000156815;NaN;NaN;0;0;0;NaN;
6780.0000000159;NaN;NaN;0;0;0;NaN;
6840.000000016118;0.0;0.0;1;1;0;0.0;
6900.000000016336;NaN;NaN;0;0;0;NaN;
6960.000000016555;NaN;NaN;0;0;0;NaN;
7020.000000016773;NaN;NaN;0;0;0;NaN;
7080.000000016991;4.254277771454641;0.0;1;1;0;4.254277771454641;
7140.0000000172095;NaN;NaN;0;0;0;NaN;
7200.000000017428;NaN;NaN;0;0;0;NaN;
7260.000000017646;0.0;0.0;1;1;0;0.0;
7320.000000017864;NaN;NaN;0;0;0;NaN;
7380.000000018083;44.59473825048161;0.0;1;1;0;44.59473825048161;
7440.000000018301;NaN;NaN;0;0;0;NaN;
7500.000000018519;0.4654063350893218;0.0;1;1;0;0.4654063350893218;
7560.000000018737;NaN;NaN;0;0;0;NaN;
7620.000000018956;NaN;NaN;0;0;0;NaN;
7680.000000019174;NaN;NaN;0;0;0;NaN;
7740.000000019392;NaN;NaN;0;0;0;NaN;
7800.0000000196105;0.505144529567777;0.0;1;1;0;0.505144529567777;
7860.000000019829;20.348993105019648;0.0;2;2;0;20.348993105019648;
7920.000000020047;0.0;0.0;1;1;0;0.0;
7980.000000020265;44.31532121191172;0.0;2;2;0;44.31532121191172;
8040.000000020484;0.0;0.0;1;1;0;0.0;
8100.000000020702;0.4603968936949929;0.0;1;1;0;0.4603968936949929;
8160.00000002092;0.0;0.0;1;1;0;0.0;
8220.00000002063;0.0;0.0;1;1;0;0.0;
8280.000000019756;40.510520680944246;0.0;1;1;0;40.510520680944246;
8340.000000018883;NaN;NaN;0;0;0;NaN;
8400.00000001801;NaN;NaN;0;0;0;NaN;
8460.000000017137;NaN;NaN;0;0;0;NaN;
8520.000000016264;NaN;NaN;0;0;0;NaN;
8580.00000001539;NaN;NaN;0;0;0;NaN;
8640.000000014517;NaN;NaN;0;0;0;NaN;
8700.000000013644;0.49852046282553786;0.0;2;2;0;0.49852046282553786;
8760.000000012771;0.0;0.0;2;2;0;0.0;
8820.000000011898;0.0;0.0;2;2;0;0.0;
8880.000000011025;42.42525869980651;0.0;1;1;0;42.42525869980651;
8940.000000010152;NaN;NaN;0;0;0;NaN;
9000.000000009279;0.48202696331446093;0.0;1;1;0;0.48202696331446093;
