time;avg_velo;frac_wait;numb_cars;numb_cars_in;numb_cars_out;avg_velo_in_traffic;
60.049999999998725;46.94656309806039;0.0;1;1;0;46.94656309806039;
120.04999999999532;NaN;NaN;0;0;0;NaN;
180.00000000000668;NaN;NaN;0;0;0;NaN;
240.00000000002032;0.0;0.0;1;1;0;0.0;
300.00000000003394;0.5;0.0;1;1;0;0.5;
360.0000000000476;NaN;NaN;0;0;0;NaN;
420.0000000000612;NaN;NaN;0;0;0;NaN;
480.00000000007486;NaN;NaN;0;0;0;NaN;
540.0000000000566;0.0;0.0;1;1;0;0.0;
600.000000000002;5.019875548817013;0.0;4;4;0;5.019875548817013;
660.0499999999474;0.0;0.0;1;1;0;0.0;
720.0499999998929;NaN;NaN;0;0;0;NaN;
780.0499999998383;NaN;NaN;0;0;0;NaN;
840.0499999997837;NaN;NaN;0;0;0;NaN;
900.0499999997292;NaN;NaN;0;0;0;NaN;
960.0499999996746;33.39399183910731;0.0;3;3;0;33.39399183910731;
1020.04999999962;0.0;0.0;2;2;0;0.0;
1080.0499999995654;NaN;NaN;0;0;0;NaN;
1140.0499999995109;0.0;0.0;2;2;0;0.0;
1200.0499999994563;0.980857145622833;0.0;2;2;0;0.980857145622833;
1260.0499999994017;NaN;NaN;0;0;0;NaN;
1320.0499999993472;51.10618243447801;0.0;1;1;0;51.10618243447801;
1380.0499999992926;22.241174803534477;0.0;2;2;0;22.241174803534477;
1440.049999999238;0.0;0.0;1;1;0;0.0;
1500.0499999991835;1.0561378030896686;0.0;1;1;0;1.0561378030896686;
1560.0499999991289;49.66179237011656;0.0;1;1;0;49.66179237011656;
1620.0499999990743;0.0;0.0;4;4;0;0.0;
1680.0499999990197;42.2630996741824;0.0;2;2;0;42.2630996741824;
1740.0499999989652;NaN;NaN;0;0;0;NaN;
1800.0499999989106;NaN;NaN;0;0;0;NaN;
1860.049999998856;52.97279659734817;0.0;1;1;0;52.97279659734817;
1920.0499999988015;0.0;0.0;1;1;0;0.0;
1980.049999998747;44.5019955930619;0.0;1;1;0;44.5019955930619;
2040.0499999986923;NaN;NaN;0;0;0;NaN;
2100.0499999988742;0.9573224791590523;0.0;1;1;0;0.9573224791590523;
2160.0499999990925;0.0;0.0;1;1;0;0.0;
2220.049999999311;0.0;0.0;2;2;0;0.0;
2280.049999999529;NaN;NaN;0;0;0;NaN;
2340.0499999997473;NaN;NaN;0;0;0;NaN;
2400.0499999999656;NaN;NaN;0;0;0;NaN;
2460.0000000001837;0.0;0.0;1;1;0;0.0;
2520.000000000402;0.0;0.0;3;3;0;0.0;
2580.0000000006203;41.30251198442857;0.0;1;1;0;41.30251198442857;
2640.0000000008386;NaN;NaN;0;0;0;NaN;
2700.000000001057;0.5;0.0;1;1;0;0.5;
2760.000000001275;50.6571665330682;0.0;1;1;0;50.6571665330682;
2820.0000000014934;0.0;0.0;2;2;0;0.0;
2880.0000000017117;43.01680483571712;0.0;2;2;0;43.01680483571712;
2940.00000000193;NaN;NaN;0;0;0;NaN;
3000.000000002148;21.805241138190127;0.0;1;1;0;21.805241138190127;
3060.0000000023665;0.0;0.0;1;1;0;0.0;
3120.000000002585;0.0;0.0;4;4;0;0.0;
3180.000000002803;42.53265991102037;0.0;1;1;0;42.53265991102037;
3240.0000000030213;0.0;0.0;1;1;0;0.0;
3300.0000000032396;NaN;NaN;0;0;0;NaN;
3360.000000003458;NaN;NaN;0;0;0;NaN;
3420.000000003676;NaN;NaN;0;0;0;NaN;
3480.0000000038945;NaN;NaN;0;0;0;NaN;
3540.0000000041127;NaN;NaN;0;0;0;NaN;
3600.000000004331;NaN;NaN;0;0;0;NaN;
3660.0000000045493;NaN;NaN;0;0;0;NaN;
3720.0000000047676;NaN;NaN;0;0;0;NaN;
3780.000000004986;NaN;NaN;0;0;0;NaN;
3840.000000005204;NaN;NaN;0;0;0;NaN;
3900.0000000054224;0.5233093695675562;0.0;2;2;0;0.5233093695675562;
3960.0000000056407;0.0;0.0;1;1;0;0.0;
4020.000000005859;0.0;0.0;2;2;0;0.0;
4080.0000000060772;NaN;NaN;0;0;0;NaN;
4140.0000000062955;NaN;NaN;0;0;0;NaN;
4200.000000006514;0.49268505979582194;0.0;2;2;0;0.49268505979582194;
4260.000000006732;NaN;NaN;0;0;0;NaN;
4320.00000000695;NaN;NaN;0;0;0;NaN;
4380.000000007169;45.26980098945449;0.0;1;1;0;45.26980098945449;
4440.000000007387;NaN;NaN;0;0;0;NaN;
4500.000000007605;NaN;NaN;0;0;0;NaN;
4560.0000000078235;NaN;NaN;0;0;0;NaN;
4620.000000008042;0.0;0.0;1;1;0;0.0;
4680.00000000826;NaN;NaN;0;0;0;NaN;
4740.000000008478;NaN;NaN;0;0;0;NaN;
4800.000000008697;17.646759253534597;0.0;3;3;0;17.646759253534597;
4860.000000008915;49.57154335517889;0.0;1;1;0;49.57154335517889;
4920.000000009133;0.0;0.0;2;2;0;0.0;
4980.000000009351;44.30456490565387;0.0;1;1;0;44.30456490565387;
5040.00000000957;0.0;0.0;1;1;0;0.0;
5100.000000009788;0.5402713652263496;0.0;2;2;0;0.5402713652263496;
5160.000000010006;45.97456336684445;0.0;2;2;0;45.97456336684445;
5220.0000000102245;0.0;0.0;2;2;0;0.0;
5280.000000010443;43.555403355887876;0.0;1;1;0;43.555403355887876;
5340.000000010661;NaN;NaN;0;0;0;NaN;
5400.000000010879;NaN;NaN;0;0;0;NaN;
5460.000000011098;5.9998517876383275;0.0;1;1;0;5.9998517876383275;
5520.000000011316;0.0;0.0;2;2;0;0.0;
5580.000000011534;28.533168607343146;0.0;3;3;0;28.533168607343146;
5640.0000000117525;0.0;0.0;1;1;0;0.0;
5700.000000011971;NaN;NaN;0;0;0;NaN;
5760.000000012189;NaN;NaN;0;0;0;NaN;
5820.000000012407;NaN;NaN;0;0;0;NaN;
5880.000000012626;NaN;NaN;0;0;0;NaN;
5940.000000012844;0.0;0.0;1;1;0;0.0;
6000.000000013062;NaN;NaN;0;0;0;NaN;
6060.00000001328;NaN;NaN;0;0;0;NaN;
6120.000000013499;NaN;NaN;0;0;0;NaN;
6180.000000013717;0.0;0.0;1;1;0;0.0;
6240.000000013935;NaN;NaN;0;0;0;NaN;
6300.000000014154;NaN;NaN;0;0;0;NaN;
6360.000000014372;NaN;NaN;0;0;0;NaN;
6420.00000001459;0.0;0.0;1;1;0;0.0;
6480.000000014808;43.96429511611303;0.0;1;1;0;43.96429511611303;
6540.000000015027;0.0;0.0;3;3;0;0.0;
6600.000000015245;0.5164333316317875;0.0;2;2;0;0.5164333316317875;
6660.000000015463;0.0;0.0;1;1;0;0.0;
6720.0000000156815;NaN;NaN;0;0;0;NaN;
6780.0000000159;41.79101882637601;0.0;1;1;0;41.79101882637601;
6840.000000016118;NaN;NaN;0;0;0;NaN;
6900.000000016336;NaN;NaN;0;0;0;NaN;
6960.000000016555;46.575562871991615;0.0;1;1;0;46.575562871991615;
7020.000000016773;NaN;NaN;0;0;0;NaN;
7080.000000016991;NaN;NaN;0;0;0;NaN;
7140.0000000172095;NaN;NaN;0;0;0;NaN;
7200.000000017428;NaN;NaN;0;0;0;NaN;
7260.000000017646;49.77484278993927;0.0;1;1;0;49.77484278993927;
7320.000000017864;NaN;NaN;0;0;0;NaN;
7380.000000018083;NaN;NaN;0;0;0;NaN;
7440.000000018301;NaN;NaN;0;0;0;NaN;
7500.000000018519;NaN;NaN;0;0;0;NaN;
7560.000000018737;NaN;NaN;0;0;0;NaN;
7620.000000018956;NaN;NaN;0;0;0;NaN;
7680.000000019174;NaN;NaN;0;0;0;NaN;
7740.000000019392;NaN;NaN;0;0;0;NaN;
7800.0000000196105;NaN;NaN;0;0;0;NaN;
7860.000000019829;NaN;NaN;0;0;0;NaN;
7920.000000020047;NaN;NaN;0;0;0;NaN;
7980.000000020265;NaN;NaN;0;0;0;NaN;
8040.000000020484;11.473349338223322;0.0;2;2;0;11.473349338223322;
